model_id,model,source,scaler,encoder,bias_pre,tuning,bias_post,n_splits,eta,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
LG016,logistic_regression,classic,none,one-hot,none,random,none,3,,,,,,0.7360294426162689,0.8024271404597884,0.8330276463323673,0.8134804402796371,-0.0097850297850297,0.0242296730819265,-0.0458338654255729,0.0217069080862749,0.0185242096699053,0.0295905629461861,0.0364791149476174,0.1041610859464838,0.036430941735542,0.0332577765952491,0.0408330134582527,0.0236066849487953,0.0795960427798691,0.0284890781299452
LG017,logistic_regression,classic,none,one-hot,none,random,calibrate_equalized_odds,3,,,,,,0.7320404236571901,0.77530401674806,0.871587004634215,0.8182972953685863,0.0345924245924245,0.0525756326778861,-0.0756973822608174,0.0084311781734207,0.0598594148068285,0.0350400992040194,0.0146305065228227,0.0964278325485589,0.0369802052983544,0.165346374543732,0.174974752719609,0.0776598222067708,0.0993661295334929,0.1914165709844483
LG018,logistic_regression,classic,none,one-hot,none,random,reject_option_classification,3,,,,,,0.6729843616071162,0.897386740803268,0.6027903109448174,0.7194338371173101,-0.0055981855981855,0.0518012202662373,-0.0157303323698084,0.0575177389721706,0.0167275049765854,0.0315800006174243,0.0207786507416947,0.0622113564570869,0.0410520977092402,0.0312123484441273,0.0800874672036148,0.0376140637613825,0.043176447330208,0.0510423410745212
RF013,random_forest,classic,none,one-hot,none,none,none,3,,,,,,0.7620045194895494,0.7817273122961658,0.9157343213137203,0.8433928348260107,-0.0434608034608034,-0.0137378677154719,-0.0554288329757487,-0.0048450504309451,-0.0211506936569535,0.0059674031346687,0.0023098847827927,0.0148729125726316,0.005334076633718,0.0171709345108089,0.0518495030547355,0.0414282331417836,0.0822301534786788,0.0155426281715869
RF014,random_forest,classic,none,one-hot,none,none,calibrate_equalized_odds,3,,,,,,0.7359844874814935,0.7509637194325158,0.93433231845249,0.8321240936152222,-0.1094822094822094,-0.0401898879174921,-0.0207856188317207,0.0332710399355521,-0.1197787607939617,0.0135178836942251,0.0242001746626926,0.02897647118847,0.0030530097992799,0.0810941119402846,0.0717083198079488,0.083273567503314,0.0276294533052984,0.1235069921762244
RF015,random_forest,classic,none,one-hot,none,none,reject_option_classification,3,,,,,,0.7059904215592838,0.8734124817712662,0.6785273223041464,0.7633396875549421,-0.0112795312795312,0.0006868821589986,-0.0783584290861181,-0.0077040768645797,0.0374044344933752,0.0240015398608579,0.0179707742861879,0.0356668466596234,0.023851442277089,0.0470004137721869,0.0494179363806709,0.0243166217834062,0.0687776983276025,0.0453459142086565
RF016,random_forest,classic,none,one-hot,none,random,none,3,,,,,,0.7479935024845205,0.7697519188078309,0.9200995316875143,0.8361538105215148,-0.0265152565152565,0.0020465603827881,-0.0536205775913602,-0.0144964555091113,-0.0057230884183022,0.0106219359760668,0.0386679249032503,0.0664748223066648,0.006106290705751,0.0378991278039487,0.0185331054849555,0.0460753065420586,0.1084374016408148,0.0367359411319343
RF017,random_forest,classic,none,one-hot,none,random,calibrate_equalized_odds,3,,,,,,0.7379894864924804,0.7552480174156431,0.9358301847572232,0.8333103764921947,-0.0541459641459641,-0.0127261668899391,-0.0455290611734504,0.1068104963051231,-0.0473602701939832,0.0285194770322233,0.0469218272258453,0.0718478975605333,0.0131613594422704,0.0277817768062586,0.0456981597013198,0.0584590077497395,0.1839022147999671,0.0594434372858131
RF018,random_forest,classic,none,one-hot,none,random,reject_option_classification,3,,,,,,0.7449904994815174,0.8491285664718285,0.7742318085665726,0.8075954262450648,-0.041007091007091,-0.0239302444686381,-0.0655554271757808,-0.0090390318386452,0.0033081444996031,0.0472681275701486,0.0145141850117101,0.0918469724903577,0.0482747779738099,0.0052983823241798,0.0456645853782942,0.0344543705185309,0.055010945583717,0.0211264792348254
GB013,gradient_boosting,classic,none,one-hot,none,none,none,3,,,,,,0.7410254565943188,0.7772933592676275,0.8828851961899172,0.8267225418579094,-0.0154026054026054,-0.026087807834661,-0.0898200226035684,-0.0529573937721105,0.0215520090769363,0.0326064775166456,0.018356929309848,0.0273809619502871,0.0223415496634088,0.0631314577409885,0.0568055257672651,0.0617811811736103,0.0415164368772771,0.050820164746106
